pixel_id,latitude,longitude,1981-01-01,1982-01-01,1983-01-01,1984-01-01,1985-01-01,1986-01-01,1987-01-01,1988-01-01,1989-01-01,1990-01-01,1991-01-01,1992-01-01,1993-01-01,1994-01-01,1995-01-01,1996-01-01,1997-01-01,1998-01-01,1999-01-01,2000-01-01,2001-01-01,2002-01-01,2003-01-01,2004-01-01,2005-01-01,2006-01-01,2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2025-01-01,2026-01-01
31,37.0,80.25,46.360367,36.010254,43.016434,49.532333,43.529953,37.54875,40.905014,42.406433,36.68226,44.58304,42.62224,38.846863,48.825806,46.693558,42.869354,51.228195,45.856308,44.25531,51.66008,45.828934,35.440083,43.212368,44.004242,45.457443,40.557358,39.212265,41.153458,46.460327,46.402573,42.23725,47.619034,51.470413,45.53647,41.812317,38.095394,43.88829,42.30786,42.65262,47.731552,46.601944,38.294716,48.746475,43.018814,40.777298,36.90825,38.337296
32,37.0,80.5,47.323257,37.25244,43.998856,50.852646,44.65886,38.337814,41.731186,42.869324,37.649055,45.407257,43.74919,39.54413,49.98401,47.57051,43.945526,52.398117,46.877792,45.456482,53.181564,46.518387,36.02016,43.991665,45.17807,46.687912,41.549545,40.011093,42.077286,47.70056,47.65648,43.206,48.29091,52.689163,46.208344,42.85138,39.028988,44.829697,43.71216,43.062775,49.26085,48.03749,38.767372,50.03163,43.893814,41.339798,37.705124,39.18495
33,37.0,80.75,47.41896,37.65674,44.530106,51.19249,45.119797,38.50969,41.5847,42.60565,37.9889,45.59085,43.958176,39.434753,50.12268,47.70137,44.302948,52.569992,46.909042,45.77484,53.386642,46.305496,36.2643,43.81393,45.457367,46.863693,41.918686,40.35289,41.71205,48.38025,47.5764,43.23725,48.007706,52.94307,46.01889,42.75177,39.55438,44.886337,44.17505,42.814728,49.620224,48.223038,38.33378,49.639053,43.94655,41.17769,37.76567,38.948624
34,37.0,81.0,47.088882,36.93213,44.5887,51.0421,45.018234,38.31047,41.24681,42.218933,37.936165,45.379913,43.79216,38.88983,49.407837,47.810745,44.201385,52.00554,46.25865,45.583435,53.16594,45.92659,36.309223,43.392056,45.1976,46.70549,41.844467,40.23375,40.79799,48.602905,47.511948,43.147408,47.494034,52.200882,45.583344,42.32013,39.778988,44.890244,43.78247,42.787384,49.272568,47.60585,37.99003,48.64296,43.243423,40.763626,37.687546,38.39003
35,36.75,72.5,75.190445,78.73291,72.98128,72.764755,75.88347,68.076096,68.45189,71.73456,72.236946,86.05374,70.10857,82.62616,67.85901,66.86348,64.65646,63.595383,71.36217,83.02484,75.75969,70.44417,60.070942,60.772915,68.861664,78.70744,74.78783,82.80992,63.294083,81.72009,81.041245,75.71381,67.96669,74.22627,62.626312,72.09552,72.810234,64.69884,82.44263,68.2327,75.833115,78.414444,50.564247,76.15077,72.05202,66.69331,62.736374,70.343155
36,36.75,72.75,72.60841,74.42627,70.99104,71.37608,72.662766,64.02727,63.936264,68.67792,68.1471,80.99515,65.69646,78.36249,64.44495,64.07832,62.787323,61.771164,68.79967,79.63422,73.212814,68.29768,58.172504,57.7319,65.60971,74.7758,69.36009,78.24742,59.120255,77.20642,76.029526,72.50678,65.488174,69.65596,59.04428,68.4256,70.25164,61.69493,79.173096,64.156525,74.77452,75.658585,46.85331,73.48671,68.66139,63.25972,59.019577,67.56386
37,36.75,73.0,74.86818,76.680176,72.405106,73.53819,75.0573,65.15422,65.75658,70.74823,67.93226,82.97366,66.270676,80.7453,65.7887,65.57637,64.96896,64.38835,70.73326,80.63226,75.58586,70.78206,58.985004,59.509243,66.89487,76.79338,70.49095,81.09117,60.614395,80.33728,79.46898,74.545845,66.55849,71.478226,60.897797,70.64435,72.573906,62.616806,81.803955,64.34598,77.20616,76.896866,49.925575,75.19179,71.17702,64.30464,61.53911,69.26503
38,36.75,73.25,78.86623,81.40869,74.73714,79.25108,79.74675,70.96672,72.186264,76.74432,73.75843,88.82327,71.526535,86.62225,71.450806,69.65254,68.50412,71.196945,74.698105,86.03851,77.456955,74.467606,61.592426,64.42136,70.97885,81.04143,79.28783,86.31969,67.28432,86.00525,84.59398,78.50288,68.513565,79.09932,67.6478,75.61505,75.36492,66.03087,85.548096,67.46512,78.233505,80.96327,56.099403,80.0746,77.02272,67.99019,65.886765,72.59706
39,36.75,73.5,79.08498,80.56885,74.70589,82.2628,79.94011,71.76164,72.981186,79.050964,75.85023,89.06546,72.2531,87.01288,73.431274,70.5627,69.09592,75.38054,74.86803,86.958435,77.02336,74.74495,62.2643,65.10495,71.474945,81.201584,81.592514,86.22984,69.50893,86.02478,82.81273,77.91694,68.81044,82.18526,69.96225,75.96271,74.872734,66.2086,85.266846,67.45535,77.73741,81.8539,56.10917,82.07655,78.00319,67.62886,66.32622,72.550186
40,36.75,73.75,77.64748,77.36963,73.51448,81.139755,77.55925,68.66399,69.0515,77.5119,71.88538,85.71585,68.74919,83.63983,71.64612,68.572464,67.64865,74.26921,73.05748,82.89398,77.076096,72.791824,60.74477,62.55221,69.31479,79.12932,76.430405,84.63023,67.108536,84.70447,79.935776,74.77631,68.03505,79.4294,66.72006,73.542786,73.21258,64.48595,84.13794,64.71512,77.389755,79.34413,53.39042,79.633194,75.71217,64.15425,65.45708,71.474014
