valid_time,latitude,longitude,r
1981-01-01 00:00:00,35.0,73.0,64.71388
1981-01-01 00:00:00,35.0,73.25,64.86232
1981-01-01 00:00:00,35.0,73.5,68.15529
1981-01-01 00:00:00,35.0,73.75,71.9424
1981-01-01 00:00:00,35.0,74.0,72.42482
1981-01-01 00:00:00,35.0,74.25,70.92873
1981-01-01 00:00:00,35.0,74.5,72.41115
1981-01-01 00:00:00,35.0,74.75,74.790054
1981-01-01 00:00:00,35.0,75.0,74.38576
1981-01-01 00:00:00,35.0,75.25,74.73927
1981-01-01 00:00:00,35.0,75.5,77.61427
1981-01-01 00:00:00,35.0,75.75,80.02443
1981-01-01 00:00:00,35.0,76.0,80.87013
1981-01-01 00:00:00,35.0,76.25,80.34474
1981-01-01 00:00:00,35.0,76.5,78.64943
1981-01-01 00:00:00,35.0,76.75,76.778336
1981-01-01 00:00:00,35.0,77.0,76.79396
1981-01-01 00:00:00,35.0,77.25,80.0674
1981-01-01 00:00:00,35.0,77.5,82.81154
1981-01-01 00:00:00,35.0,77.75,81.36037
1981-01-01 00:00:00,35.0,78.0,79.38576
1981-01-01 00:00:00,35.0,78.25,79.95412
1981-01-01 00:00:00,35.0,78.5,79.6924
1981-01-01 00:00:00,35.0,78.75,74.29201
1981-01-01 00:00:00,35.0,79.0,63.702164
1981-01-01 00:00:00,35.0,79.25,53.473648
1981-01-01 00:00:00,35.0,79.5,47.995132
1981-01-01 00:00:00,35.0,79.75,45.40724
1981-01-01 00:00:00,35.0,80.0,44.229507
1981-01-01 00:00:00,35.0,80.25,44.858414
1981-01-01 00:00:00,35.0,80.5,46.448257
1981-01-01 00:00:00,35.0,80.75,48.99318
1981-01-01 00:00:00,35.0,81.0,51.010757
1981-01-01 00:00:00,34.75,72.5,59.045914
1981-01-01 00:00:00,34.75,72.75,61.02443
1981-01-01 00:00:00,34.75,73.0,60.27443
1981-01-01 00:00:00,34.75,73.25,62.315445
1981-01-01 00:00:00,34.75,73.5,65.14748
1981-01-01 00:00:00,34.75,73.75,66.64162
1981-01-01 00:00:00,34.75,74.0,67.440445
1981-01-01 00:00:00,34.75,74.25,67.54201
1981-01-01 00:00:00,34.75,74.5,69.54982
1981-01-01 00:00:00,34.75,74.75,73.39357
1981-01-01 00:00:00,34.75,75.0,75.096695
1981-01-01 00:00:00,34.75,75.25,75.215836
1981-01-01 00:00:00,34.75,75.5,76.40724
1981-01-01 00:00:00,34.75,75.75,78.196304
1981-01-01 00:00:00,34.75,76.0,78.87599
1981-01-01 00:00:00,34.75,76.25,77.90724
1981-01-01 00:00:00,34.75,76.5,76.12404
1981-01-01 00:00:00,34.75,76.75,73.98537
1981-01-01 00:00:00,34.75,77.0,73.57716
1981-01-01 00:00:00,34.75,77.25,77.221695
1981-01-01 00:00:00,34.75,77.5,80.58302
1981-01-01 00:00:00,34.75,77.75,80.28029
1981-01-01 00:00:00,34.75,78.0,79.98927
1981-01-01 00:00:00,34.75,78.25,80.23537
1981-01-01 00:00:00,34.75,78.5,78.86427
1981-01-01 00:00:00,34.75,78.75,74.940445
1981-01-01 00:00:00,34.75,79.0,66.25099
1981-01-01 00:00:00,34.75,79.25,56.44435
1981-01-01 00:00:00,34.75,79.5,51.321304
1981-01-01 00:00:00,34.75,79.75,48.241226
1981-01-01 00:00:00,34.75,80.0,45.63771
1981-01-01 00:00:00,34.75,80.25,45.23146
1981-01-01 00:00:00,34.75,80.5,44.866226
1981-01-01 00:00:00,34.75,80.75,44.379898
1981-01-01 00:00:00,34.75,81.0,44.252945
1981-01-01 00:00:00,34.5,72.5,56.965836
1981-01-01 00:00:00,34.5,72.75,58.426773
1981-01-01 00:00:00,34.5,73.0,58.03029
1981-01-01 00:00:00,34.5,73.25,60.0381
1981-01-01 00:00:00,34.5,73.5,61.44435
1981-01-01 00:00:00,34.5,73.75,63.153336
1981-01-01 00:00:00,34.5,74.0,66.92482
1981-01-01 00:00:00,34.5,74.25,67.66896
1981-01-01 00:00:00,34.5,74.5,67.0674
1981-01-01 00:00:00,34.5,74.75,71.02052
1981-01-01 00:00:00,34.5,75.0,76.42482
1981-01-01 00:00:00,34.5,75.25,78.43263
1981-01-01 00:00:00,34.5,75.5,77.99123
1981-01-01 00:00:00,34.5,75.75,77.62599
1981-01-01 00:00:00,34.5,76.0,76.96974
1981-01-01 00:00:00,34.5,76.25,74.90529
1981-01-01 00:00:00,34.5,76.5,73.15529
1981-01-01 00:00:00,34.5,76.75,72.36818
1981-01-01 00:00:00,34.5,77.0,72.352554
1981-01-01 00:00:00,34.5,77.25,74.409195
1981-01-01 00:00:00,34.5,77.5,76.008804
